"ip","classification","first_seen","last_seen"
"20.86.27.229","unknown","2021-10-07","2021-10-13"
"196.196.216.5","unknown","2021-10-13","2021-10-13"
"194.147.158.42","malicious","2021-07-26","2021-10-13"
"20.50.139.51","unknown","2021-05-27","2021-10-13"
"103.229.41.5","unknown","2021-10-09","2021-10-12"
"91.211.52.221","malicious","2018-05-19","2021-10-12"
"116.110.156.140","malicious","2021-10-12","2021-10-12"
"2.61.251.177","unknown","2021-10-08","2021-10-12"
"194.147.158.42","malicious","2021-07-26","2021-10-12"
"20.50.139.51","unknown","2021-05-27","2021-10-12"
"117.7.125.41","malicious","2021-10-12","2021-10-12"
"199.203.104.173","malicious","2021-05-23","2021-10-12"
"20.50.139.51","unknown","2021-05-27","2021-10-11"
"108.61.186.17","unknown","2021-10-11","2021-10-11"
"20.86.27.229","unknown","2021-10-07","2021-10-11"
"162.33.179.83","unknown","2021-10-11","2021-10-11"
"77.137.41.162","unknown","2021-09-09","2021-10-11"
"194.147.158.42","malicious","2021-07-26","2021-10-11"
"2.61.251.177","unknown","2021-10-08","2021-10-11"
"103.229.41.5","unknown","2021-10-09","2021-10-11"
"103.229.41.5","unknown","2021-10-09","2021-10-10"
"20.50.139.51","unknown","2021-05-27","2021-10-10"
"2.61.251.177","unknown","2021-10-08","2021-10-10"
"185.191.207.52","unknown","2019-04-12","2021-10-10"
"199.203.104.173","malicious","2021-05-23","2021-10-09"
"116.105.165.166","malicious","2021-10-09","2021-10-09"
"103.229.41.5","unknown","2021-10-09","2021-10-09"
"2.61.251.177","unknown","2021-10-08","2021-10-09"
"116.105.210.250","malicious","2021-10-09","2021-10-09"
"171.226.5.3","unknown","2021-10-09","2021-10-09"
"20.50.139.51","unknown","2021-05-27","2021-10-09"
"116.110.11.249","unknown","2021-10-09","2021-10-09"
"116.105.175.48","unknown","2021-10-08","2021-10-08"
"209.126.13.20","malicious","2021-03-05","2021-10-08"
"2.61.251.177","unknown","2021-10-08","2021-10-08"
"2.61.185.244","unknown","2021-10-08","2021-10-08"
"185.246.130.99","malicious","2021-10-06","2021-10-08"
"49.37.188.223","unknown","2021-01-23","2021-10-08"
"2.61.92.173","unknown","2021-10-08","2021-10-08"
"116.98.166.80","unknown","2021-10-08","2021-10-08"
"20.50.139.51","unknown","2021-05-27","2021-10-08"
"2.61.84.180","unknown","2021-10-08","2021-10-08"
"20.86.27.229","unknown","2021-10-07","2021-10-07"
"20.50.139.51","unknown","2021-05-27","2021-10-07"
"171.238.153.78","malicious","2021-10-07","2021-10-07"
"212.80.205.170","malicious","2021-02-28","2021-10-07"
"45.146.166.171","unknown","2021-10-06","2021-10-07"
"116.98.170.51","malicious","2021-10-07","2021-10-07"
"171.251.30.244","malicious","2021-10-07","2021-10-07"
"185.246.130.99","unknown","2021-10-06","2021-10-07"
